Protein_ID,Importance
SRS016095.79879-T1-C,0.31689675033658066
SRS052697.298506-T1-C,0.12725131405439458
SRS014287.13806-T1-C;SRS014979.181428-T1-C;SRS015065.64776-T1-C;SRS015663.189128-T1-C;SRS016335.172378-T1-C;SRS016335.206384-T1-C;SRS016753.49241-T1-C;SRS019397.57506-T1-C;SRS019601.183924-T1-C;SRS019601.37875-T1-C;SRS019601.44230-T1-C;SRS019685.78685-T1-C;SRS020328.7056-T1-C;SRS020328.9511-T1-C;SRS022609.318410-T1-C;SRS022609.97994-T1-C;SRS042284.65912-T1-C;SRS045713.81551-T1-C;SRS049959.18112-T1-C;SRS050752.70555-T1-C;SRS054590.29027-T1-C;SRS056519.100196-T1-C;SRS058770.34266-T1-C;SRS064276.20922-T1-C;SRS064557.38055-T1-C,0.12337695193335381
SRS015217.3408-T1-C,0.11399404683789197
SRS050925.24824-T1-C,0.08438153135831297
SRS018351.16985-T1-C,0.06126785444720305
SRS015217.236794-T1-C,0.04895551078001549
SRS023914.91446-T1-C,0.04778184988627663
SRS055982.58544-T1-C,0.04709544939344269
SRS054590.12532-T1-C,0.028998740972528324
